review_id,phone_model,overall_rating,review_text,is_synthetic
R001,Aster M1 5G,5,"Two weeks with this phone and I'm happy with it. I leave for work at 8 with a full charge and usually have around 30% left at bedtime, mostly calls, maps and music. Photos of my kids in the park came out really sharp. Switching between apps is quick too. Paid ₹24,999 and it feels like money well spent.",true
R002,Aster M1 5G,2,"Having to charge twice a day is getting annoying. Took it off the charger at 7 am and it was down to 18% before lunch. Just WhatsApp, calls and a little browsing on office Wi-Fi, no gaming. Thought it would settle down after setup but it's still the same after three weeks.",true
R003,Aster M1 5G,3,"Daylight shots look lovely, especially landscapes. Indoors it is a different story. Faces look too smooth and pictures of my dog come out blurry unless he sits perfectly still. Night mode makes the scene brighter but loses a lot of detail. Fine for holiday photos outside, less useful for family pictures at home.",true
R004,Aster M1 5G,4,Watching movies on this is a treat. Blacks look properly black and subtitles are easy to read even when I'm sitting near a window. Scrolling looks smooth as well. The blue back looks really nice and doesn't collect many fingerprints. Only complaint is the flat edges dig into my palm during long video calls.,true
R005,Aster M1 5G,2,"Bought it mainly for BGMI. The first match runs well, then after about 20 minutes it gets warm and starts dropping frames during fights. Lowering the graphics helps a little, but I expected better. Normal stuff like UPI and opening Instagram is quick. Wouldn't recommend it for long gaming sessions.",true
R006,Aster M1 5G,4,"₹24,999 mein mujhe sahi deal lagi. Office apps aur video calls smoothly chal rahe hain, abhi tak hang nahi hua. Camera din mein achha hai, raat ko average. Flagship jaisi photos expect mat karo. Mere daily use ke liye kaafi hai.",true
R007,Aster M1 5G,1,"The back panel on my unit clicks when I press near the bottom and the volume button rattles. Only been using it for six days, no drops or rough use. It looks premium from a distance but the assembly feels cheap in the hand. I've asked for a replacement because this is not acceptable at this price.",true
R008,Aster M1 5G,5,Excellent phone. Very happy with the purchase!,true
R009,Aster M1 5G,3,Received today. Got the 8GB/128GB version. The box mentions a 5000 mAh battery and a 50 MP main camera. Haven't transferred my data or tried taking photos yet. Will update the review after a week of use.,true
R010,Aster M1 5G,3,"Six weeks in, it's an okay phone with a few compromises. The screen is excellent for reading and videos. It survived a fall from my desk without a crack, which was a relief, but it's bulky and uncomfortable in my jeans pocket. Battery lasts until evening on normal days; using navigation means topping up before the journey home. For ₹24,999 I expected a little more.",true
R011,Aster M1 5G,2,"Indoors the screen looks nice, but outside at noon I can barely read my navigation directions. Tried auto brightness and then pushed the slider all the way up. Still ended up shading it with my hand at every turn. I spend a lot of time outdoors, so this is a pretty big letdown for me.",true
R012,Aster M1 5G,5,"Finally a phone I don't have to plug in every night! I'm a light user, mostly calls and messages, and a full charge comfortably gets me through a day and a half. A quick top-up while I have breakfast is usually enough before leaving. Very pleased with the battery.",true
R013,Aster M1 5G,4,"Feels solid. The buttons have a proper click and nothing creaks when I grip it. Been carrying it without a case for a month and the frame finish still looks fine. Was worried it would feel flimsy at this price, but the construction has been reassuring so far.",true
R014,Aster M1 5G,3,"At ₹24,999 this is just okay value. Nothing is seriously wrong with it, but my previous ₹17,000 phone handled my daily routine about as well. I don't feel like the extra money bought me much. Would have been happier paying around 20k.",true
R015,Aster M1 5G,4,"Rear camera is really good for food pictures and close-ups of flowers. Colours look natural instead of being boosted too much. Selfies are another matter: my skin looks like wax even after turning the beauty option off. Giving four stars because I mainly use the rear camera, but the front one needs work.",true
R016,Aster M1 5G,2,"The phone has 8GB RAM but keeps reloading my work apps. I open a PDF, switch to mail to check something, and when I return the document jumps back to the first page. Happens several times a day. WhatsApp and basic browsing are fast enough. Multitasking is the part that's driving me mad.",true
R017,Aster M1 5G,3,"Dekhne mein phone achha hai, lekin camera ka bada sa bump irritating hai. Table pe rakh ke type karo toh hilta rehta hai. Ek haath se use karna bhi mushkil lag raha hai, kaafi wide hai. Photo quality abhi check nahi ki, yeh complaint sirf shape aur handling ki hai.",true
R018,Aster M1 5G,1,Delivery was four days late and the courier kept marking me unavailable even though I was home. Outer box was crushed too. Haven't switched the phone on yet. This one star is for the delivery experience.,true
R019,Aster M1 5G,3,"Speakers are loud enough for calls but music sounds thin, with almost no bass. At full volume there's a harsh buzzing on some songs. With my headphones it's fine. If you watch videos without earphones a lot, the sound might disappoint you.",true
R020,Aster M1 5G,4,"Updating after a month. During the first week the phone occasionally froze when opening the recent-apps screen, but the latest update fixed that and it now feels smooth. The screen is lovely for reading comics. Battery is acceptable rather than amazing: I get through a workday with about 10% left. Photos of moving people still blur indoors, so I wouldn't buy it mainly for the camera.",true
R021,Aster M1 5G,5,"Took this on a weekend trip instead of carrying my old camera. Mountain shots have plenty of detail and the portrait photos separated hair from the background surprisingly well. Videos while walking were steady enough to share straight away. The screen was also bright enough to check my shots outdoors. Really happy with what I got for ₹24,999.",true
R022,Aster M1 5G,4,"Not slow at all. Apps open straight away. Battery isn't bad either, usually lasts until bedtime. Haven't tried the camera yet.",true
R023,Aster M1 5G,1,"A thin green line appeared down the middle of the display on the eighth day. It stays there on every app and even on the startup logo. Restarting did nothing. No drops or water exposure. Watching anything with that line across it is awful, and now I have to take a new phone to the service centre.",true
R024,Aster M1 5G,4,"Battery backup mast hai. Subah charge karta hu aur next morning bhi thoda bacha hota hai. Charging bhi jaldi ho jaati hai. Games nahi khelta, mostly calls aur YouTube. Mere use mein toh koi battery tension nahi hai.",true
R025,Aster M1 5G,3,"Bought it to record short cooking videos. Still photos of the dishes look good, but in video the focus keeps jumping between my hands and the food. Sometimes half the clip is blurry before it settles. Tapping to lock focus helps. Usable, just more fiddly than I hoped.",true
R026,Aster M1 5G,2,"After two months the finish around the charging port has started peeling, and one corner of the back panel no longer sits flush with the frame. It's always been in a case. I still like how it looks, but the way it's put together doesn't inspire much confidence. Expected better durability for 25k.",true
R027,Aster M1 5G,5,Love the simple blue finish. I have big hands and the wide shape is actually comfortable for me. Buttons are easy to reach too.,true
R028,Aster M1 5G,4,"Got it for my mother. Increasing the font size hasn't made the text look fuzzy, which is nice, and she finds the screen easy to read. Her usual WhatsApp and banking apps open quickly. She charges it roughly every other day with very light use. She says it feels heavy during long calls, so that's the one downside.",true
R029,Aster M1 5G,2,"Great, exactly what I needed: another device that lives next to a socket. Down from 100% to 35% in three hours of ordinary browsing. My four-year-old phone lasted longer.",true
R030,Aster M1 5G,4,"Good: crisp screen, smooth scrolling, firm buttons with no rattling. Bad: night photos are grainy and bright signs turn into white blobs. The photos are fine during the day though. At ₹24,999 the overall package feels fair to me, but I can see why someone buying mainly for night photography would be disappointed.",true
